Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,500,LDR2PE-CP,0,0.5359276305384765,0.4053099105768362,0.017060988767977483
0.1,500,DRO-IPW,0,0.49811457404811554,0.4053099105768362,0.008612705562017414
0.1,500,LDR2PE-CP,1,0.25002246235972225,0.4053099105768362,0.02411419157378284
0.1,500,DRO-IPW,1,0.2639023345113283,0.4053099105768362,0.019996102568722408
0.1,500,LDR2PE-CP,2,0.5640447357834287,0.4053099105768362,0.02519674473336749
0.1,500,DRO-IPW,2,0.5476924480263725,0.4053099105768362,0.020272786970568616
0.1,500,LDR2PE-CP,3,0.5947003294639308,0.4053099105768362,0.03586873076622917
0.1,500,DRO-IPW,3,0.5649774125930456,0.4053099105768362,0.025493711200096227
0.1,500,LDR2PE-CP,4,0.521610841223408,0.4053099105768362,0.013525906469258695
0.1,500,DRO-IPW,4,0.4862240095729701,0.4053099105768362,0.006547091416356155
0.1,500,LDR2PE-CP,5,0.3428093704263619,0.4053099105768362,0.003906317519101049
0.1,500,DRO-IPW,5,0.39260245993859566,0.4053099105768362,0.00016147930172331952
0.1,500,LDR2PE-CP,6,0.4685555420985769,0.4053099105768362,0.004000009906583805
0.1,500,DRO-IPW,6,0.5251401188202288,0.4053099105768362,0.014359278807654844
0.1,500,LDR2PE-CP,7,0.5863047105856911,0.4053099105768362,0.032759117630245395
0.1,500,DRO-IPW,7,0.5342014372952415,0.4053099105768362,0.01661302565980139
0.1,500,LDR2PE-CP,8,0.3150473909795325,0.4053099105768362,0.008147322444053633
0.1,500,DRO-IPW,8,0.3384466476669581,0.4053099105768362,0.00447069592695548
0.1,500,LDR2PE-CP,9,0.5091936926633613,0.4053099105768362,0.010791840180600644
0.1,500,DRO-IPW,9,0.42698879366728826,0.4053099105768362,0.0004699739720494888
0.1,500,LDR2PE-CP,10,0.4116970668179877,0.4053099105768362,4.079576484888046e-05
0.1,500,DRO-IPW,10,0.4775703010286624,0.4053099105768362,0.005221564028250374
0.1,500,LDR2PE-CP,11,0.45049476092803986,0.4053099105768362,0.002041670701260671
0.1,500,DRO-IPW,11,0.41886431005794617,0.4053099105768362,0.00018372174529351448
0.1,500,LDR2PE-CP,12,0.3333057812667783,0.4053099105768362,0.005184594637699539
0.1,500,DRO-IPW,12,0.39516576606479636,0.4053099105768362,0.00010290366788114762
0.1,500,LDR2PE-CP,13,0.4423056815966916,0.4053099105768362,0.0013686870733535732
0.1,500,DRO-IPW,13,0.40177533435739554,0.4053099105768362,1.2493229051035314e-05
0.1,500,LDR2PE-CP,14,0.41374129092097356,0.4053099105768362,7.108817450750606e-05
0.1,500,DRO-IPW,14,0.3913628874570875,0.4053099105768362,0.0001945194539028036
