Delta Test,T,Method,Mean_MSE,CI_Lower_MSE,CI_Upper_MSE,Mean_Estimated_R_delta,CI_Lower_R_delta,CI_Upper_R_delta
0.1,500,DRO-IPW,0.007976619011741206,0.0049112696684356135,0.011041968355046798,0.4489184055863241,0.4179996669733526,0.47983714419929563
0.1,500,LDR2PE-CP,0.011623806778637525,0.0073320272609177966,0.015915586296357254,0.45555397140753956,0.4177135011541579,0.4933944416609212
0.1,1000,DRO-IPW,0.00930302626693968,0.004843620792331961,0.013762431741547398,0.4787211914448212,0.4539040688136859,0.5035383140759566
0.1,1000,LDR2PE-CP,0.007208992562820119,0.002894778834855237,0.011523206290785001,0.4545569826739474,0.4271201258448569,0.48199383950303787
0.1,2000,DRO-IPW,0.004635238321227809,0.0021193715822024227,0.007151105060253195,0.45691750205497417,0.43930206492048907,0.47453293918945927
0.1,2000,LDR2PE-CP,0.0022802939979736695,0.0010662560351880656,0.003494331960759273,0.41198440580532847,0.3932274352633083,0.43074137634734866
0.1,3000,DRO-IPW,0.0032137122678754355,0.002056864140863343,0.004370560394887528,0.4543536557253976,0.4430746460178718,0.4656326654329234
0.1,3000,LDR2PE-CP,0.0008643237979041446,0.0005314992255798571,0.001197148370228432,0.3965380149074384,0.385406786576458,0.4076692432384188
0.1,4000,DRO-IPW,0.003152775376049738,0.001879717578857661,0.004425833173241815,0.4552095093918842,0.44499671531761803,0.4654223034661504
0.1,4000,LDR2PE-CP,0.0005647785892470616,0.00022492518365765712,0.000904631994836466,0.4039701122409336,0.3945577334574362,0.413382491024431
0.1,5000,DRO-IPW,0.00459474410648149,0.0033860619501072395,0.00580342626285574,0.46911182763032383,0.4600306568090983,0.47819299845154933
0.1,5000,LDR2PE-CP,0.0005022537382858189,0.0002800933775729485,0.0007244140989986893,0.40906584311050065,0.4003013514054031,0.41783033481559817
0.2,500,DRO-IPW,0.005909470972066995,0.00288174346026998,0.008937198483864008,0.2704010976599229,0.24348780038694806,0.2973143949328977
0.2,500,LDR2PE-CP,0.009170330371255128,0.005697313164252909,0.012643347578257347,0.2768560393059886,0.242834360070573,0.3108777185414042
0.2,1000,DRO-IPW,0.0033254304726077384,0.0014202959288242157,0.005230565016391261,0.2694989715303327,0.2513929628660673,0.28760498019459807
0.2,1000,LDR2PE-CP,0.0024516875189259436,0.0015178104976579269,0.0033855645401939605,0.24316584442394157,0.223844647037335,0.26248704181054816
0.2,2000,DRO-IPW,0.002544491281040173,0.0015231716102370471,0.0035658109518432995,0.27553867076233535,0.2640407767131454,0.2870365648115253
0.2,2000,LDR2PE-CP,0.0008913199623031906,0.0006021820235361506,0.0011804579010702306,0.23029060837742393,0.21855227657810647,0.2420289401767414
0.2,3000,DRO-IPW,0.0016407522833341507,0.0010718314687522485,0.002209673097916053,0.26766983088081175,0.25858774603242785,0.27675191572919566
0.2,3000,LDR2PE-CP,0.0007898336145235083,0.000445938789904868,0.0011337284391421487,0.22548328142037857,0.21489157598588332,0.23607498685487383
0.2,4000,DRO-IPW,0.0025775802949868035,0.0016760925434890284,0.0034790680464845784,0.27704185664839126,0.26620111189101575,0.28788260140576677
0.2,4000,LDR2PE-CP,0.0008542515392153751,0.0003982239875522673,0.001310279090878483,0.2328931609047103,0.22131144604780756,0.24447487576161303
0.2,5000,DRO-IPW,0.0022787133110182298,0.0011022484350742125,0.003455178186962247,0.2734621370556562,0.26266027450753704,0.28426399960377535
0.2,5000,LDR2PE-CP,0.0006884555579889882,0.00027483059199031045,0.0011020805239876658,0.23156238160636983,0.2212087784406129,0.24191598477212675
0.3,500,DRO-IPW,0.004164011722450936,0.0021253725754841767,0.006202650869417696,0.17285913741862546,0.15647136961399405,0.18924690522325688
0.3,500,LDR2PE-CP,0.0057388553242908305,0.003621972599296267,0.007855738049285394,0.17820711033115488,0.15750823533230063,0.19890598533000914
0.3,1000,DRO-IPW,0.0024900252557615854,0.001382116551280479,0.003597933960242692,0.1565779985527574,0.14183233641064327,0.1713236606948715
0.3,1000,LDR2PE-CP,0.0020900300345484913,0.000877941339487743,0.00330211872960924,0.1342531801497035,0.11664721953622972,0.15185914076317727
0.3,2000,DRO-IPW,0.001187713519369415,0.0005975575084213495,0.0017778695303174805,0.1501328560930206,0.1415601637708261,0.15870554841521511
0.3,2000,LDR2PE-CP,0.0006113574719333326,0.0003251247998778369,0.0008975901439888282,0.12118950013986567,0.11141643480739445,0.13096256547233687
0.3,3000,DRO-IPW,0.0013038147294015634,0.0008478087721173191,0.0017598206866858077,0.153874615786423,0.14626255604351465,0.16148667552933135
0.3,3000,LDR2PE-CP,0.0003138482220781006,0.0001424511587816578,0.00048524528537454337,0.11834945580081406,0.1116002571934584,0.12509865440816972
0.3,4000,DRO-IPW,0.0015126713052566537,0.000853815772917651,0.0021715268375956565,0.15602812063053798,0.1477005266487041,0.16435571461237186
0.3,4000,LDR2PE-CP,0.00042646504137834027,0.00020508358011678192,0.0006478465026398986,0.12040369286615189,0.11229187279924321,0.12851551293306057
0.3,5000,DRO-IPW,0.0013806916568837552,0.0008536682566649124,0.0019077150571025978,0.15414022914367337,0.14592603629178424,0.1623544219955625
0.3,5000,LDR2PE-CP,0.00030278387188796703,0.00011079819991298843,0.0004947695438629456,0.12400157610176725,0.11710471546316352,0.13089843674037097
