Delta Test,T,Model,Mean,CI_Lower,CI_Upper
0.1,500,Ai2024,0.20787986566405534,0.1848052460221067,0.23095448530600396
0.1,500,DRO(δ=0.2),0.28372876704380023,0.2582301781210003,0.30922735596660017
0.1,500,Leung2025(δ=0.2),0.24697463160711605,0.2279550524964877,0.26599421071774443
0.2,500,Ai2024,0.08019253508317385,0.06605216407028999,0.09433290609605771
0.2,500,DRO(δ=0.2),0.1682102628436526,0.1471951136049747,0.18922541208233049
0.2,500,Leung2025(δ=0.2),0.1397834274291261,0.12285031664628807,0.15671653821196416
0.3,500,Ai2024,0.014402538108413613,0.009092159739143603,0.019712916477683622
0.3,500,DRO(δ=0.2),0.09180159385365812,0.07426678996285183,0.10933639774446441
0.3,500,Leung2025(δ=0.2),0.0706439242358021,0.0565342670716152,0.084753581399989
0.1,1000,Ai2024,0.2158094919849976,0.17860868048434728,0.25301030348564796
0.1,1000,DRO(δ=0.2),0.31526216304689836,0.2937062712112056,0.3368180548825911
0.1,1000,Leung2025(δ=0.2),0.3023945816424418,0.2764724283258204,0.3283167349590632
0.2,1000,Ai2024,0.08195956929961584,0.0578473458169753,0.10607179278225638
0.2,1000,DRO(δ=0.2),0.19388052802038197,0.176056588971234,0.21170446706952994
0.2,1000,Leung2025(δ=0.2),0.1849014380865678,0.16157019900785982,0.2082326771652758
0.3,1000,Ai2024,0.020715595990929987,0.012310185249452502,0.029121006732407473
0.3,1000,DRO(δ=0.2),0.11178600444814935,0.09699426483273668,0.126577744063562
0.3,1000,Leung2025(δ=0.2),0.10613016415509458,0.08603417853503066,0.12622614977515847
0.1,1500,Ai2024,0.2521884445534097,0.21889623660802265,0.2854806524987968
0.1,1500,DRO(δ=0.2),0.35726326721087814,0.3438736719022288,0.3706528625195275
0.1,1500,Leung2025(δ=0.2),0.268868110845374,0.24822612243012748,0.2895100992606205
0.2,1500,Ai2024,0.10061574751571607,0.07784504052228004,0.1233864545091521
0.2,1500,DRO(δ=0.2),0.22631740404887238,0.21478319830940376,0.237851609788341
0.2,1500,Leung2025(δ=0.2),0.15551284819857775,0.13794342465085527,0.17308227174630023
0.3,1500,Ai2024,0.024970648823410345,0.016237476223733158,0.03370382142308753
0.3,1500,DRO(δ=0.2),0.13641149087218926,0.12614342499153255,0.14667955675284597
0.3,1500,Leung2025(δ=0.2),0.08110339734351808,0.0665063697963221,0.09570042489071406
0.1,2000,Ai2024,0.2518651623851086,0.21925408136463084,0.28447624340558636
0.1,2000,DRO(δ=0.2),0.3612875660590638,0.3462923828335235,0.37628274928460415
0.1,2000,Leung2025(δ=0.2),0.2966221849654226,0.27866933189288173,0.31457503803796344
0.2,2000,Ai2024,0.10095404053422315,0.07846940132429828,0.12343867974414802
0.2,2000,DRO(δ=0.2),0.23491074651149094,0.22252821472452192,0.24729327829845996
0.2,2000,Leung2025(δ=0.2),0.17757830257813523,0.16098407952760696,0.1941725256286635
0.3,2000,Ai2024,0.025714146645188264,0.01704341634172335,0.03438487694865318
0.3,2000,DRO(δ=0.2),0.14721005150357278,0.13650585043897728,0.15791425256816827
0.3,2000,Leung2025(δ=0.2),0.09788654858387053,0.08290141550634599,0.11287168166139507
0.1,2500,Ai2024,0.2962665669448496,0.26869032092422207,0.3238428129654771
0.1,2500,DRO(δ=0.2),0.347196528390976,0.3321001291287866,0.36229292765316534
0.1,2500,Leung2025(δ=0.2),0.31574995000523326,0.29860811739484094,0.3328917826156256
0.2,2500,Ai2024,0.1312188223767791,0.11094556220214943,0.15149208255140875
0.2,2500,DRO(δ=0.2),0.21881938107251608,0.20586117349399896,0.2317775886510332
0.2,2500,Leung2025(δ=0.2),0.19372088097548373,0.17792815036357773,0.20951361158738974
0.3,2500,Ai2024,0.03937157657985942,0.030481623680320542,0.0482615294793983
0.3,2500,DRO(δ=0.2),0.1308742701187423,0.1195931648572694,0.14215537538021522
0.3,2500,Leung2025(δ=0.2),0.1110068612496837,0.09672583177278342,0.12528789072658397
